Date,Close,Open,High,Low,Volume,변동 %
2019-07-22,13700 ,13700 ,13900 ,13550 ,57.41K,-1.08%
2019-07-23,13550 ,13700 ,14100 ,13450 ,103.08K,-1.09%
2019-07-24,13250 ,13600 ,13900 ,13100 ,131.81K,-2.21%
2019-07-25,13250 ,13450 ,13550 ,13000 ,87.57K,0.00%
2019-07-26,12600 ,12950 ,12950 ,10200 ,1.34M,-4.91%
2019-07-29,12100 ,12650 ,12750 ,12050 ,171.62K,-3.97%
2019-07-30,12050 ,12200 ,12350 ,11800 ,129.18K,-0.41%
2019-07-31,12150 ,12050 ,12300 ,11450 ,206.76K,0.83%
2019-08-01,11750 ,12300 ,12300 ,11450 ,162.65K,-3.29%
2019-08-02,11400 ,11250 ,11700 ,11100 ,136.35K,-2.98%
2019-08-04,11400 ,11400 ,11400 ,11400 ,-,0.00%
2019-08-05,10700 ,11200 ,11350 ,10000 ,424.92K,-6.14%
2019-08-06,10500 ,10000 ,10750 ,9960 ,356.61K,-1.87%
2019-08-07,10650 ,10500 ,10700 ,10050 ,200.92K,1.43%
2019-08-08,11000 ,10700 ,11100 ,10550 ,175.59K,3.29%
2019-08-09,10950 ,10950 ,11250 ,10600 ,134.12K,-0.45%
2019-08-11,10950 ,10950 ,10950 ,10950 ,-,0.00%
2019-08-12,10800 ,10750 ,11000 ,10600 ,116.98K,-1.37%
2019-08-13,10800 ,10550 ,10800 ,10400 ,164.99K,0.00%
2019-08-14,10700 ,10850 ,10900 ,10600 ,103.26K,-0.93%
2019-08-16,10500 ,10550 ,10650 ,10250 ,108.59K,-1.87%
2019-08-19,10700 ,10500 ,10700 ,10450 ,65.19K,1.90%
2019-08-20,11000 ,10750 ,11250 ,10300 ,144.69K,2.80%
2019-08-21,11650 ,10800 ,11700 ,10750 ,203.34K,5.91%
2019-08-22,11600 ,11800 ,12300 ,11550 ,228.96K,-0.43%
2019-08-23,11300 ,11450 ,11650 ,11050 ,115.27K,-2.59%
2019-08-26,10650 ,10700 ,12150 ,10600 ,462.70K,-5.75%
2019-08-27,10950 ,10950 ,11150 ,10700 ,136.63K,2.82%
2019-08-28,11700 ,11000 ,11750 ,10650 ,169.94K,6.85%
2019-08-29,11300 ,11700 ,12000 ,11000 ,196.56K,-3.42%
2019-08-30,11900 ,11600 ,11900 ,11300 ,184.01K,5.31%
2019-09-01,11900 ,11900 ,11900 ,11900 ,-,0.00%
2019-09-02,12200 ,11900 ,12200 ,11600 ,113.84K,2.52%
2019-09-03,11900 ,11950 ,12050 ,11750 ,122.09K,-2.46%
2019-09-04,12000 ,11750 ,12100 ,11700 ,80.07K,0.84%
2019-09-05,12100 ,12000 ,12200 ,11800 ,113.98K,0.83%
2019-09-06,12000 ,12250 ,12250 ,11900 ,53.48K,-0.83%
2019-09-09,12000 ,12100 ,12150 ,11800 ,55.87K,0.00%
2019-09-10,11850 ,12000 ,12000 ,11550 ,83.56K,-1.25%
2019-09-11,11800 ,11800 ,12100 ,11800 ,135.47K,-0.42%
2019-09-16,11950 ,11850 ,12000 ,11800 ,104.20K,1.27%
2019-09-17,12200 ,11900 ,12600 ,11800 ,230.68K,2.09%
2019-09-18,11950 ,12500 ,12500 ,11950 ,76.23K,-2.05%
2019-09-19,12000 ,12050 ,12200 ,11900 ,66.12K,0.42%
2019-09-20,12000 ,12000 ,12100 ,11900 ,40.14K,0.00%
2019-09-23,11700 ,12000 ,12000 ,11700 ,75.46K,-2.50%
2019-09-24,11750 ,11450 ,11850 ,11300 ,100.82K,0.43%
2019-09-25,11350 ,11750 ,11750 ,11250 ,76.04K,-3.40%
2019-09-26,11750 ,11350 ,11750 ,11250 ,91.09K,3.52%
2019-09-27,11900 ,11700 ,11900 ,11550 ,57.35K,1.28%
2019-09-30,11750 ,11700 ,11950 ,11600 ,51.54K,-1.26%
2019-10-01,11950 ,11700 ,12050 ,11650 ,105.40K,1.70%
2019-10-02,11450 ,11900 ,11900 ,11450 ,77.40K,-4.18%
2019-10-04,11700 ,11400 ,11900 ,11250 ,111.24K,2.18%
2019-10-07,12350 ,11800 ,12900 ,11750 ,365.15K,5.56%
2019-10-08,12000 ,12150 ,12150 ,11700 ,182.56K,-2.83%
2019-10-10,11650 ,11850 ,11950 ,11500 ,114.50K,-2.92%
2019-10-11,12000 ,11650 ,12100 ,11550 ,95.04K,3.00%
2019-10-14,13050 ,12000 ,13150 ,11850 ,416.44K,8.75%
2019-10-15,15100 ,13200 ,16000 ,12950 ,1.77M,15.71%
2019-10-16,16000 ,15300 ,16050 ,14850 ,730.52K,5.96%
2019-10-17,16050 ,16300 ,16750 ,15850 ,493.33K,0.31%
2019-10-18,16850 ,16200 ,17200 ,15750 ,627.99K,4.98%
2019-10-20,16850 ,16850 ,16850 ,16850 ,-,0.00%
2019-10-21,17300 ,17000 ,17600 ,16900 ,464.09K,2.67%
2019-10-22,17250 ,17150 ,17600 ,16600 ,559.93K,-0.29%
2019-10-23,18400 ,18450 ,21900 ,17300 ,2.32M,6.67%
2019-10-24,18800 ,18150 ,19100 ,17050 ,725.42K,2.17%
2019-10-25,18900 ,18450 ,19600 ,18000 ,642.41K,0.53%
2019-10-27,18900 ,18900 ,18900 ,18900 ,-,0.00%
2019-10-28,20550 ,19300 ,20800 ,18900 ,972.37K,8.73%
2019-10-29,20500 ,20300 ,21100 ,20100 ,456.19K,-0.24%
2019-10-30,22500 ,20350 ,22650 ,20150 ,1.37M,9.76%
2019-10-31,26050 ,23050 ,28100 ,22650 ,4.47M,15.78%
2019-11-01,26450 ,26050 ,26450 ,25550 ,345.67K,1.54%
2019-11-03,26450 ,26450 ,26450 ,26450 ,-,0.00%
2019-11-04,27700 ,26100 ,28500 ,26100 ,448.50K,4.73%
2019-11-05,29550 ,28400 ,29800 ,28400 ,542.84K,6.68%
2019-11-06,26200 ,28700 ,28750 ,25600 ,1.13M,-11.34%
2019-11-07,26900 ,26500 ,27650 ,26000 ,606.75K,2.67%
2019-11-08,25900 ,26450 ,28300 ,25900 ,646.90K,-3.72%
2019-11-10,25900 ,25900 ,25900 ,25900 ,-,0.00%
2019-11-11,23900 ,25750 ,25750 ,23300 ,879.79K,-7.72%
2019-11-12,24450 ,23850 ,24850 ,23500 ,480.50K,2.30%
2019-11-13,24000 ,23850 ,24300 ,22600 ,744.30K,-1.84%
2019-11-14,25300 ,24300 ,26050 ,24100 ,593.68K,5.42%
2019-11-15,27550 ,25600 ,27550 ,24650 ,590.91K,8.89%
2019-11-17,27550 ,27550 ,27550 ,27550 ,-,0.00%
2019-11-18,27550 ,26950 ,28450 ,26650 ,484.19K,0.00%
2019-11-19,27850 ,27900 ,29200 ,27400 ,766.08K,1.09%
2019-11-20,26600 ,27400 ,29000 ,26250 ,718.96K,-4.49%
2019-11-21,26700 ,26800 ,27300 ,25650 ,455.94K,0.38%
2019-11-22,26500 ,26900 ,27100 ,25300 ,465.03K,-0.75%
2019-11-25,26550 ,27000 ,27650 ,25850 ,431.84K,0.19%
2019-11-26,24850 ,26600 ,26700 ,24500 ,735.68K,-6.40%
2019-11-27,24900 ,25100 ,25700 ,23750 ,640.38K,0.20%
2019-11-28,26250 ,25000 ,26500 ,24350 ,840.15K,5.42%
2019-11-29,25400 ,26250 ,26550 ,25100 ,548.57K,-3.24%
2019-12-01,25400 ,25400 ,25400 ,25400 ,-,0.00%
2019-12-02,25850 ,25250 ,26200 ,23500 ,645.92K,1.77%
2019-12-03,23900 ,25800 ,26850 ,23650 ,1.16M,-7.54%
2019-12-04,25000 ,24500 ,26000 ,23900 ,1.17M,4.60%
2019-12-05,31550 ,25800 ,32000 ,18250 ,18.16M,26.20%
2019-12-06,41000 ,32800 ,41000 ,32000 ,15.53M,29.95%
2019-12-08,41000 ,41000 ,41000 ,41000 ,-,0.00%
2019-12-09,38350 ,43300 ,43500 ,36500 ,13.02M,-6.46%
2019-12-10,33200 ,37000 ,37100 ,32500 ,7.32M,-13.43%
2019-12-11,33350 ,33000 ,34250 ,30650 ,6.16M,0.45%
2019-12-12,33000 ,32800 ,33750 ,31050 ,3.68M,-1.05%
2019-12-13,32550 ,32700 ,33850 ,31950 ,3.26M,-1.36%
2019-12-15,32550 ,32550 ,32550 ,32550 ,-,0.00%
2019-12-16,33550 ,32600 ,33550 ,31600 ,2.56M,3.07%
2019-12-17,34500 ,33050 ,34550 ,32800 ,3.12M,2.83%
2019-12-18,33200 ,34600 ,36350 ,32950 ,3.10M,-3.77%
2019-12-19,32750 ,33450 ,33650 ,32300 ,1.59M,-1.36%
2019-12-20,33600 ,32900 ,34000 ,32600 ,1.81M,2.60%
2019-12-23,32300 ,34100 ,34500 ,32250 ,2.45M,-3.87%
2019-12-24,32450 ,32350 ,33100 ,31700 ,2.24M,0.46%
2019-12-25,32450 ,32450 ,32450 ,32450 ,-,0.00%
2019-12-26,35400 ,32750 ,35850 ,32400 ,5.92M,9.09%
2019-12-27,36050 ,37200 ,37800 ,35150 ,3.59M,1.84%
2019-12-29,36050 ,36050 ,36050 ,36050 ,-,0.00%
2019-12-30,38550 ,35900 ,39300 ,35700 ,3.71M,6.93%
2020-01-02,40450 ,39300 ,41000 ,39150 ,2.87M,4.93%
2020-01-03,39200 ,39800 ,40800 ,39150 ,1.89M,-3.09%
2020-01-05,39200 ,39200 ,39200 ,39200 ,-,0.00%
2020-01-06,37900 ,37550 ,38600 ,36900 ,1.76M,-3.32%
2020-01-07,37500 ,38600 ,38600 ,36800 ,1.51M,-1.06%
2020-01-08,34950 ,36800 ,37650 ,34750 ,2.39M,-6.80%
2020-01-09,40250 ,36250 ,40250 ,36050 ,2.63M,15.16%
2020-01-10,40950 ,40000 ,43550 ,39450 ,3.88M,1.74%
2020-01-12,40950 ,40950 ,40950 ,40950 ,-,0.00%
2020-01-13,38800 ,41450 ,41900 ,38700 ,1.69M,-5.25%
2020-01-14,38750 ,38150 ,39750 ,37150 ,1.69M,-0.13%
2020-01-15,37400 ,38200 ,38750 ,37050 ,902.46K,-3.48%
2020-01-16,37250 ,37050 ,38550 ,36950 ,798.06K,-0.40%
2020-01-17,39350 ,37950 ,39700 ,37900 ,1.62M,5.64%
2020-01-19,39350 ,39350 ,39350 ,39350 ,-,0.00%
2020-01-20,38350 ,39350 ,40000 ,38200 ,909.79K,-2.54%
2020-01-21,36350 ,38200 ,38400 ,35800 ,1.06M,-5.22%
